gene	cell	rho	pval
BTK	B cells naive	-0.172598128329104	0.000103262012827576
BTK	B cells memory	0.268976406046821	9.44100777506148e-10
BTK	Plasma cells	-0.164892138807551	0.000209752902615521
BTK	T cells CD8	0.0347098875478242	0.438218295272108
BTK	T cells CD4 memory resting	-0.00447951399395982	0.920332302069722
BTK	T cells CD4 memory activated	0.0911588858166639	0.0413938208655124
BTK	T cells follicular helper	-0.326556154506691	6.50093090703041e-14
BTK	T cells regulatory (Tregs)	-0.0101351317904186	0.820972680843889
BTK	T cells gamma delta	0.086735903951679	0.0523528809375043
BTK	NK cells resting	-0.00207260016519258	0.963090873302801
BTK	NK cells activated	-0.233332314811333	1.27272818195405e-07
BTK	Monocytes	0.108185357744141	0.0154106714655058
BTK	Macrophages M0	-0.0717224974251603	0.108841463511156
BTK	Macrophages M1	0.132976262390191	0.00286155827007576
BTK	Macrophages M2	0.0966549922831277	0.0305339334784473
BTK	Dendritic cells resting	0.23465180779025	1.07560906947388e-07
BTK	Dendritic cells activated	-0.248948900863103	1.62831670732623e-08
BTK	Mast cells resting	0.127985535707311	0.00411307078614889
BTK	Mast cells activated	-0.101707323181744	0.0228018616932757
BTK	Eosinophils	0.0255863481346987	0.567753611357656
BTK	Neutrophils	-0.0679525328295238	0.128777497582487
