	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-05-4244-01A	0	0	0.0145415364501319	0.0513264251353969	0	0.140126206775941	0.0135077813097731	0.0352215589193749	0.0124347807069234	0	0	0.0152181703915158	0.0615409410081788	0.19077098320294	0.0306466105817731	0.177117582152793	0.14670619217976	0.0265789934888339	0.0669515108867056	0	0.00938218865252834	0.00792853815743123	0.07	0.11023221699375	1.04693823123347
TCGA-05-4249-01A	0.00731271913418846	0.0132372425310616	0.0445196529638866	0.0273931222492791	0	0.0885547902865047	0	0.023674006348969	0.0341973857646807	0	0	0.0203974783477016	0.0123612275460245	0	0.0324741601446454	0.149216565963629	0.368334815504077	0.00487266007807394	0.149890070800997	0	0	0.0235641023362818	0	0.453913980879797	0.890890612146765
TCGA-05-4250-01A	0.020519357706506	0	0.0298048779846594	0.120284469513013	0	0.130560282420993	0.058972528139137	0.0562840219024269	0	0.0157108688875275	0	0.0858243177709686	0.00246018501252812	0.055702769425165	0.0963533214804903	0.199408141353243	0.0448035103068299	0	0.0702498838828131	0	0.00247395499213612	0.0105875092215645	0	0.350036724984048	0.939857788925155
TCGA-05-4382-01A	0.00415527816356008	0	0.122651486973509	0.0412239151868473	0	0.0888902132233795	0.0363485576271209	0	0.050572881372113	0	0.0111265077747876	0	0	0.232821568900917	0.0777314622378134	0.287826074888054	0.0196086088011893	0	0	0.0100208166641781	0	0.0170226281865309	0	0.459327422171637	0.887928705693669
TCGA-05-4384-01A	0	0	0.03608882567657	0.0413750022743133	0	0.153605894624707	0	0.00412408246413029	0	0	0.0227673516675445	0.00811322247042626	0.00811404481817483	0.155450196469703	0.0289118228871129	0.386828189040624	0.0843373903074902	0.0159293318676169	0.0310986870091605	0	0	0.023255958422427	0	0.342783281500386	0.950430803463847
TCGA-05-4389-01A	0.0379406646765652	0	0	0.233441903486205	0	0.0115115938855639	0.0779741345578789	0.0210516277486332	0.0527443141642411	0	0.0170582085555248	0.00118252755751531	0.0044072554859623	0.0890301126723991	0.112810535295453	0.12889915844257	0.14303595294013	0.00168883790749197	0.0672040814679274	0	1.90911559391365e-05	0	0	0.417032779647801	0.908052408613432
TCGA-05-4390-01A	0.00302469982865254	0	0.164441387800665	0.00120744425443331	0	0.102816085830294	0.0208062791258317	0	0.0190241266627908	0	0.0717314644536937	0	0	0.402479647366975	0.0308993191733764	0.15462682119667	0.00325773955323555	0	0	0.017227705558929	0	0.00845727919445242	0	0.342305214749168	0.956915184335143
TCGA-05-4395-01A	0.00512007259783954	0	0.0396419106763529	0.0732742782890052	0	0.162694230577194	0.0547108809385453	0.0524793136706432	0.0210260779955017	0	0.0215599122982182	0.0464301779064175	0.0575692474285594	0.0435004729379919	0.0969165799845611	0.139871669915601	0.068951686462375	0.0436047958656737	0.0654013646953775	0	0.00144870768954752	0.00579862007059556	0	0.197781394181393	1.00215972888676
TCGA-05-4396-01A	0.032115203646489	0	0.0956067505840222	0.0557181689674987	0	0.214685065004518	0.0301464458422086	0.0291592421250176	0.0375338143251605	0	0.00366318487799115	0.0085404416476151	0	0.131653794713977	0.0816420902233849	0.204143950269492	0.01627621964068	0.0132763289844617	0.0331658679255985	0	0	0.0126734312218847	0.0600000000000001	0.117448992340014	1.03475210704543
TCGA-05-4397-01A	0.0435771752224351	0	0.0482714988504603	0.0589199521773274	0	0.0376743379441102	0.0277212198089686	0.0194432113339364	0.0300922771798861	0	0.00541050865338541	0.00482460166203761	0	0.102580746596377	0.135149913606336	0.271568362525565	0.0138541789518358	0.098853656785455	0.060527484556395	0	0	0.0415308741454895	0	0.241385917923428	0.997982790715162
TCGA-05-4398-01A	0	0	0.143967351796863	0.0322723556141269	0	0.107253363006571	0.00687594520986452	0.027382000185838	0.0172655704722939	0	0.0239543031896157	0	0.0485872289155018	0.123264273182503	0.109465920294721	0.229468776453816	0.0942111992996305	0	0	0.0221124012787169	0.00874652934254735	0.00517278175738992	0	0.433085680067903	0.900698518906061
TCGA-05-4402-01A	0	0.0105282902114133	0.129675745900231	0.0495742752771809	0	0.0767273289874584	0	0.0296235665288015	0.0393947865877125	0	0	0.0247878140606649	0	0.111849661100278	0.0607736673256	0.287391466580748	0.0279065376907834	0.0430467839442888	0.0806143512953877	0	0	0.0281057245094519	0	0.389196071561762	0.920706091198842
TCGA-05-4403-01A	0.0166614962949343	0	0.0587255070640478	0.0406933927349625	0	0.119738989663359	0.00884370559394834	0.0136307635573199	0.0292797185872336	0	0.0166212450969249	0	0.0224659750828016	0.261723709675372	0.0856239435726098	0.190830327574433	0.0602058924608933	0	0.0670506036335387	0	0	0.0079047294076207	0	0.440150090589313	0.897664669876015
TCGA-05-4405-01A	0	0.0297260318531805	0.144519441188435	0.0565355954514962	0	0.050943229668355	0.00661222083432731	0.0142241417532451	0.0212442085112749	0	0	0.00411172723477341	0	0.397109788629985	0.0231772280464251	0.162932307869702	0.0207565357064199	0	0.0679131217328331	0	0	0.000194421519547395	0	0.465020803935517	0.887152276754539
TCGA-05-4410-01A	0	0.0172339466361283	0.246525390438627	0.13852938334809	0	0.1074202185625	0.0625265020161173	0.0481523235087709	0.00497008612675631	0	0.00198994725523476	0.0119215087124935	0.0078521699190058	0.0647081175563724	0.115407427282728	0.0989071739535497	0.0147593191318235	0.000262961827923703	0.0588335237238795	0	0	0	0	0.409608932140517	0.91221380384673
TCGA-05-4415-01A	0.00711359033740155	0	0.140300059750634	0.0485660696233398	0	0.168277505115695	0.121470170933601	0	0	0	0	0.118688244650313	0.00915635227386245	0.0787526880453902	0.0981355792223765	0.0669566142719923	0	0.0146515070793542	0.107800293842334	0	0	0.0201313248537065	0	0.239298966331108	0.987708863984376
TCGA-05-4417-01A	0.0346624042484821	0	0.0789872980286443	0.0464033104587328	0	0.205125931157103	0.0767774722680443	0.0198154187235137	0.0300764347072337	0	0	0.0378846729432607	0	0.145707884983122	0.0644962778306896	0.137358097425722	0.0426567604206076	0.016112746701974	0.0575078432505486	0	0	0.00642744685232138	0	0.427011073383889	0.904212705081504
TCGA-05-4418-01A	0.0360785283353494	0	0.166993792524601	0.0013861469141357	0	0.127599933723597	0.0744122035663842	0.00479858342713157	0.0118150735937184	0.0496650593370183	0	0.0385621534052537	0	0.109668803001128	0.0991226607935163	0.190019548050332	0.000818299649015522	0.0102810167358813	0.0681901141247468	0	0	0.0105880828181898	0	0.422357509236195	0.906400012978297
TCGA-05-4420-01A	0.0662545965739266	0	0.213989681663517	0.0455748384478734	0	0.187872421006739	0	0	0.02770192860721	0	0	0.0161435840441729	0.00333554199432777	0.0309433285147368	0.0164099304675618	0.185465977282407	0	0.00323514608525328	0	0.0246159313671906	0	0.178457093945084	0	0.180201727172202	1.00899716867775
TCGA-05-4422-01A	0.0177196013858472	5.93604106788349e-06	0.225322546144677	0.261020719823579	0	0.0801360245617923	0.0137758183905141	0.0511493128651579	0.0475009212914854	0	0	0.01817034151517	0.0399607087314707	0.0459987588216553	0.055486998897236	0.123755770623105	0.0165783107809443	0	0.00341823012629842	0	0	0	0	0.329794871541811	0.946628969033947
TCGA-05-4424-01A	0.0445232826124705	0	0.0443397037015803	0.039926752396897	0	0.209914289826353	0.0142883153948928	0.0128387054764446	0.00348152352969179	0	0	0.00730101164313515	0.0254251741298368	0.18578052682327	0.102822174403221	0.215702364078996	0	0.0211046827203082	0.0541449300293284	0	0	0.0184065632335748	0	0.397974278191316	0.917971092703133
TCGA-05-4425-01A	0.0103914594706745	0	0	0.00194752919822973	0	0.172222239989222	0.00492252606660016	0	0.0522848120933377	0.000578507254279029	0.0163418377299266	0	0	0.225469965314756	0.0731198942459616	0.220897695967322	0.167427563964345	0	0.0518947064756971	0	0	0.00250126222964874	0	0.657708881559785	0.772335867080203
TCGA-05-4426-01A	0.030003028209469	0	0.00342535480505185	0.0461113356554311	0	0.210462067799991	0	0	0.0590659341881076	0	0	0.0198866398482451	0.0336193693952633	0.29691698348164	0.0372804597992402	0.190266419986229	0.0175519130856895	0	0.0236641682721798	0	0	0.0317463254734626	0	0.30408547108616	0.971082090416695
TCGA-05-4427-01A	0.0259710812640714	0	0.0725570198346421	0.0615631192484811	0	0.168662342069874	0.0538395029096768	0.0216721600044985	0	0	0	0.00655136881494646	0.031377670110571	0.123169334087669	0.0746276431964897	0.216284390907062	0.0846313318676383	0.014388301779755	0.0395499453584952	0	0	0.00515478854612977	0	0.305120498536329	0.957003022236006
TCGA-05-4430-01A	0.0246737986529177	0	0.0362882330369978	0.0566720320689226	0	0.0400083030534374	0.0344491815904248	0.0202426647074022	0.0283258310223633	0.00828141739435846	0	0.00913569663349337	0	0.227244108757573	0.072092789914001	0.184756429091776	0.114903093126586	0.0411923212961984	0.0882344173640601	0	0	0.0134996822894883	0	0.569850121732662	0.828700858707395
TCGA-05-4432-01A	0.0134284117300856	0	0.154496423823918	0.0652558919643105	0	0.155083228943785	0.00524631251052892	0.00919070818722295	0.013192186597433	0	0	0.0409644521542221	0	0.258671500084008	0.0942576712120319	0.135457319133844	0.0072983505225615	0	0.0271046010512695	0	0	0.0203529420847794	0	0.397685028077845	0.918242660298512
TCGA-05-4433-01A	0.00907487951974013	0.00108815471282378	0	0.0864441784858686	0	0.111224733661581	0.0118542920124549	0.0200689259524858	0.0138309371144715	0	0	0.0192172484894668	0	0.368250190785131	0.0988934022880002	0.145268555335431	0.0293042676730977	0	0.0660847992160376	0	0	0.0193954347534095	0	0.391403381350344	0.930488977061857
TCGA-05-4434-01A	0.0215938420523033	0	0.0194801912356193	0.0519823754932848	0	0.189969388704235	0.0730138822324343	0.000614075657720375	0.0268631984646315	0	0.0283859583092018	0	0.00695323355173139	0.167884492753758	0.158579478885434	0.176493609355921	0.0369501267029554	0	0.0382256231702296	0	0	0.0030105234305397	0	0.484750413019403	0.873913347103965
TCGA-05-5420-01A	0.0307077475968137	0	0.120656699316286	0.0179557130313504	0	0.126090865136655	0.0454404345130271	0	0	0.0548415468769403	0	0.0249129759990297	0	0.13516879621588	0.146283645393426	0.162424163488261	0.0663963043351282	0	0.0521595546924563	0	0.0065095353115463	0.0104520180932004	0	0.571361477023377	0.831801197048851
TCGA-05-5423-01A	0.0130440800867918	0.00104510194780817	0.0301947638509138	0.0238850434520979	0	0.124461232687653	0.0304421939069494	0.0187398884161283	0.0407085133255751	0.0312430401557472	0	0.0058156600882362	0.00860790916041159	0.0339774355047674	0.00741021014210512	0.189459160740464	0.225087531758719	0.0511719809417506	0.0777361060029759	0	0.0496048057752649	0.0373653420556408	0	0.505369029668353	0.868889343792383
TCGA-05-5425-01A	0.0316477217130878	0	0.0673271917905134	0.196654357099674	0	0.0742978065736479	0.0835375519627079	0.0101282600948693	0.0131650845205379	0	0	0.000727511884498059	0.00584903662923926	0.092421863391115	0.136423560204394	0.161814042014158	0.0270845303940998	0.0136530108473008	0.0474448397234544	0	0.00864139495232944	0.0291822362043729	0	0.408283307913917	0.91220575631039
TCGA-05-5428-01A	0.0043694486779447	0	0.0180808546898492	0.0631965876717481	0	0.086583530915268	0	0	0.0301193930046746	0.00634990223934957	0	0.047047537741778	0.0018112557302667	0.0868294221197193	0.0355253574412555	0.332291711074558	0.11377116131578	0	0.135833275171046	0	0.00436844018732076	0.033822122019442	0	0.364908068726217	0.933879982032975
TCGA-05-5429-01A	0.0404835622454293	0	0.136298747120239	0.0234685463309913	0	0.27545904048372	0	0.00257790243479847	0.047321574861197	0.0273958378437352	0	0.0135060946794678	0.00120642056434939	0.0589826778818086	0.0410047070334668	0.195764189551423	0.0484034203346709	0.00629548368241634	0.0485392618129052	0.00864423171757671	0	0.0246483014218046	0.02	0.154130474484991	1.01290433415244
TCGA-05-5715-01A	0	0.00657793713454157	0	0.0361898626007012	0	0.0904475682928307	0.00101552913343569	0.00500720182469755	0.00666466758633687	0	0	0.0143174270994167	0	0.440705144172791	0.0110372510014619	0.266001465006924	0.0110153468516032	0.0270102571864383	0.0751568622011892	0	0	0.00885347990763156	0	0.538810378075122	0.845516252691991
TCGA-35-3615-01A	0.0115498339071685	0	0.109436234380533	0.0231001482439347	0	0.160941999122763	0.00561577400493079	0.0367253799215717	0.00673294199037123	0	0	0.00481457192441585	0	0.172154679872136	0.0403585070013205	0.29520183763493	0.00664919125494549	0.0330838565335405	0.0912638793664612	0	0	0.00237116484097685	0	0.392260315519143	0.92039922753638
TCGA-35-4122-01A	0.0258965110420474	0	0.118226286721397	0.136245188148095	0	0.043449071220654	0.0656163495224504	0.0325687114693849	0.00477223133025171	0.0209273736901181	0	0.00313234003413876	0.0419696532429616	0.0548761051175862	0.0724379468987051	0.231080575284212	0.0687396571824052	0.0188766721093079	0.0284958495358492	0	0.0116182891098927	0.021071188340543	0	0.494636105803104	0.87564435270835
TCGA-35-4123-01A	0	0.00828060635960147	0	0.336532870008349	0	0.0267170586393982	0.0902664087617509	0.0400675382850674	0.0212231970012041	0	0	0.0275091870565686	0	0.137297290636109	0.04671246636831	0.185836594815181	0.0392649982196439	0	0.0288154318621442	0.00542454991969367	0	0.00605180206697841	0	0.513413634231885	0.858507439899982
TCGA-35-5375-01A	0	0.0530691718228004	0.170513475149123	0.157505672103377	0	0	0.0268413183472789	0.0278839671404677	0.028655287261516	0.0601446090727681	0	0	0	0.0741418103814086	0.150989237160869	0.135045106317618	0.062640122603695	0	0.037660769952379	0.00110413742690958	0	0.0138053152597904	0	0.507438477994859	0.865508738265675
TCGA-38-4625-01A	0.0143449518600208	0	0.0863971704952707	0.0936516385161218	0	0.0861671253372813	0.0437255551767073	0	0.00383345947888518	0.0256881407161665	0	0.0141245596774535	0.00208763434072036	0.195809072134567	0.113177019937967	0.204789507206442	0.00286741034846595	0.0347199852717323	0.0621840490127781	0	0.00245195247833685	0.0139807680110838	0	0.30710772371119	0.961764045699024
TCGA-38-4626-01A	0	0	0	0.0337926736913852	0	0.0785191753376767	0.0253293987101973	0	0	0	0	0.0178337671362962	0.061254311929911	0.29693947290306	0.0188122250676393	0.292988497756585	0.000807884031112863	0.0594255848919658	0.0845830673760382	0	0	0.0297139411681327	0	0.306926425106324	0.978371556645889
TCGA-38-4627-01A	0.0123519732748726	0	0.0604437302802091	0.0129516957355049	0	0.244583608109948	0.00987538856903009	0	0.0148883419115768	0.00622100414188725	0	0.00705518630098178	0.0294241825668178	0.106200219729512	0.0458792205078494	0.331920481611889	0.0219062095777232	0	0.072438389934381	0	0	0.0238603677478163	0	0.535378146363035	0.850488251373458
TCGA-38-4628-01A	0.00551147608301593	0	0.0350097425401609	0.026143993471104	0	0.0636084796394771	0	0.0171838059049498	0.02248727224514	0	0	0.0273905778345154	0.0773636994948621	0.13233447536158	0.00622883923490094	0.366284516857939	0.0814519777992193	0.0224980958833979	0.101342544864441	0	0	0.0151605027852973	0	0.367036966778764	0.935982689067911
TCGA-38-4629-01A	0.0121024304307992	0	0.0549970541548988	0.107674601271456	0	0.0937792463540915	0.0675134109243711	0	0.0226132435952635	0	0	0.0137278559456235	0.0400246491634269	0.149220943559419	0.113604373252425	0.24849653306791	0.0230220888003441	0	0.0450985400598371	0	0	0.0081250294201348	0	0.49605225705568	0.869156282445232
TCGA-38-4630-01A	0.00359803020929602	0	0.0208271592167615	0.0645232746759212	0	0.274670784968313	0	0.00314115364988218	0.0409754523850992	0	0.0381180549594197	0	0	0.236756387962981	0.108419857922791	0.169018586369942	0.0263784875910941	0	0	0.0135727700884991	0	0	0	0.214089776640059	1.01429291439523
